Year,Week,Date,Sales,Cost,Quantity
2014,19,5/11/2014,165154,180530,5087
2014,20,5/12/2014,151150,165419,4659
2014,20,5/13/2014,120455,131854,3711
2014,20,5/14/2014,165742,182362,5153
2014,20,5/15/2014,222607,242369,6929
2014,20,5/16/2014,342259,369401,10671
2014,20,5/17/2014,410989,440403,12780
2014,20,5/18/2014,137157,145804,4237
2014,21,5/19/2014,138877,146777,4280
2014,21,5/20/2014,146790,156985,4574
2014,21,5/21/2014,160598,170959,5002
2014,21,5/22/2014,95162,96166,2819
2014,21,5/23/2014,354790,375658,11030
2014,21,5/24/2014,486745,513598,15127
2014,21,5/25/2014,173690,181748,5357
2014,22,5/26/2014,179808,188641,5564
2014,22,5/27/2014,186354,196073,5788
2014,22,5/28/2014,200849,211485,6246
2014,22,5/29/2014,170941,179870,5314
2014,22,5/30/2014,414642,436176,12886
2014,22,5/31/2014,497545,523643,15472
2014,22,6/1/2014,375801,395684,11692
2014,23,6/2/2014,350936,369706,10924
2014,23,6/3/2014,270482,285053,8425
2014,23,6/4/2014,236025,248254,7338
2014,23,6/5/2014,152449,161229,4766
2014,23,6/6/2014,237436,251022,7421
2014,23,6/7/2014,322988,340678,10072
2014,23,6/8/2014,159687,168278,4975
2014,24,6/9/2014,176503,184165,5445
2014,24,6/10/2014,155205,163261,4827
2014,24,6/11/2014,143660,151324,4474
2014,24,6/12/2014,165043,173715,5136
2014,24,6/13/2014,386254,406517,12019
2014,24,6/14/2014,390147,411496,12151
2014,24,6/15/2014,184788,195285,5761
2014,25,6/16/2014,152957,161660,4770
2014,25,6/17/2014,175274,185125,5465
2014,25,6/18/2014,151847,160588,4740
2014,25,6/19/2014,93729,99956,2949
2014,25,6/20/2014,167427,171703,5043
2014,25,6/21/2014,167576,173014,5077
2014,25,6/22/2014,111207,113191,3309
2014,26,6/23/2014,113971,116396,3406
2014,26,6/24/2014,30238,29515,863
2014,26,6/25/2014,46213,45089,1319
2014,26,6/26/2014,45969,44891,1312
2014,26,6/27/2014,108551,106443,3098
2014,26,6/28/2014,120457,117907,3438
2014,26,6/29/2014,51154,50239,1460
2014,27,6/30/2014,77152,75499,2202
2014,27,7/1/2014,148488,145358,4238
2014,27,7/2/2014,86333,84965,2464
2014,27,7/3/2014,77012,76028,2198
2014,27,7/4/2014,80833,79788,2307
2014,27,7/5/2014,96882,95651,2765
2014,27,7/6/2014,57813,57069,1650
2014,28,7/7/2014,56795,56014,1621
2014,28,7/8/2014,89346,88107,2550
2014,28,7/9/2014,67413,66471,1924
2014,28,7/10/2014,85705,84677,2446
2014,28,7/11/2014,110443,109228,3152
2014,28,7/12/2014,81814,80846,2335
2014,28,7/13/2014,40962,40445,1169
2014,29,7/14/2014,62124,61368,1773
2014,29,7/15/2014,90888,89833,2594
2014,29,7/16/2014,129001,137664,3976
2014,29,7/17/2014,66606,65926,1901
